epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.07,2.1111,4.19194,1.99786,0,0,0,0,1.86317,4.17512,1.77588,0.00045728,0.00045728,0.00045728
2,280.19,2.02663,3.47697,1.84371,0,0,0,0,1.85876,3.7018,1.57091,0.000927979,0.000927979,0.000927979
3,413.236,2.01631,3.24289,1.80759,0.41912,0.10701,0.2697,0.10618,2.09629,3.45884,1.78553,0.00139517,0.00139517,0.00139517
4,541.263,2.00194,3.18429,1.84165,0.35435,0.19886,0.27161,0.10036,1.99678,3.03025,1.80073,0.00141698,0.00141698,0.00141698
5,676.866,1.98706,2.96381,1.81117,0.46221,0.31345,0.38076,0.16978,2.08062,2.65573,1.86261,0.00140768,0.00140768,0.00140768
6,813.237,1.98183,2.83396,1.80114,0.70496,0.35985,0.46996,0.21646,2.01052,2.69225,1.77402,0.00139578,0.00139578,0.00139578
7,912.963,1.98126,2.7067,1.8216,0.58275,0.45928,0.50294,0.21213,2.06615,2.62538,1.84181,0.00138133,0.00138133,0.00138133
8,1010.33,1.96679,2.52445,1.80297,0.54004,0.41951,0.48591,0.16788,2.13411,2.27766,1.91331,0.0013644,0.0013644,0.0013644
9,1108.08,1.88522,2.41681,1.74085,0.46923,0.50568,0.44931,0.24387,1.89915,2.29112,1.68197,0.00134504,0.00134504,0.00134504
10,1206.91,1.88167,2.37536,1.71317,0.92308,0.39583,0.66228,0.30503,2.10666,2.15911,1.89545,0.00132333,0.00132333,0.00132333
11,1305.28,1.83859,2.26724,1.6893,0.53061,0.47538,0.44085,0.21578,1.98673,2.25806,1.7223,0.00129937,0.00129937,0.00129937
12,1401.39,1.76823,2.10901,1.6195,0.57993,0.49811,0.54957,0.25482,1.95239,1.99903,1.68765,0.00127323,0.00127323,0.00127323
13,1498.68,1.80532,2.03552,1.6281,0.89062,0.53504,0.70521,0.35173,1.90204,1.85235,1.64722,0.00124503,0.00124503,0.00124503
14,1595.85,1.82523,1.95749,1.63822,0.75315,0.71496,0.74153,0.37441,2.00738,1.78186,1.74131,0.00121488,0.00121488,0.00121488
15,1698.21,1.77015,1.85332,1.59464,0.69389,0.58049,0.68012,0.35458,2.02095,1.83935,1.77455,0.00118289,0.00118289,0.00118289
16,1843.98,1.78798,1.85283,1.62014,0.6665,0.63731,0.68693,0.33602,1.95318,1.7053,1.76902,0.0011492,0.0011492,0.0011492
17,1943.71,1.73111,1.79214,1.59887,0.80082,0.66856,0.77002,0.4047,1.95545,1.68379,1.73638,0.00111393,0.00111393,0.00111393
